Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
EIF4G2_3_left	EIF4G2	5	57.92808757687203	2.6367904014156624e-13	0.00013595087750462584	4.06483936156341e-13
EIF4E_center_right	EIF4E	4	56.88740984093718	4.436657548061997e-13	4.392316787502643e-05	6.826285841323188e-13
LSM11_5_left	LSM11	1	56.46048874612468	5.492380872172468e-13	0.0	8.434349817189705e-13
TROVE2_5_right	TROVE2	2	56.27401856424931	6.029095061744883e-13	3.569023429557296e-05	9.24074762348206e-13
RYBP_3_left	RYBP	5	56.06470244491309	6.694290416632886e-13	0.0	1.0240593977075645e-12
SSB_5_left	SSB	1	55.33872179459514	9.623858845371436e-13	0.0	1.4693899424829566e-12
DDX47_5_right	DDX47	2	55.23401931294996	1.0141100800192825e-12	0.0	1.5454029326488876e-12
TROVE2_5_left	TROVE2	1	54.712284897491536	1.3163709461822478e-12	0.00011397659901380329	2.002190160510022e-12
SMNDC1_5_left	SMNDC1	1	54.259129966547604	1.6511237763399224e-12	0.0005449560982382724	2.506563142367463e-12
RPS6_5_right	RPS6	2	53.86041746256727	2.015389313935651e-12	0.0	3.053736279860673e-12
ZC3H8_3_left	ZC3H8	5	53.63873390757002	2.251629468088443e-12	0.0	3.4052157230863167e-12
MTPAP_5_right	MTPAP	2	53.57015173523851	2.3301793720088258e-12	0.0009785594478967496	3.517335150551201e-12
TRA2A_5_left	TRA2A	1	53.51430808615752	2.396159081942294e-12	0.0003854640804469194	3.6100922274253466e-12
DHX30_3_right	DHX30	6	53.19331511357582	2.8133151570105286e-12	0.00020211893736766747	4.230589019127153e-12
WRN_5_right	WRN	2	52.92578160442236	3.2159741511843644e-12	0.0	4.826989451024366e-12
DDX47_5_left	DDX47	1	52.91868623513327	3.2274036754839793e-12	0.0	4.835038964963781e-12
FUS_5_left	FUS	1	52.839845760335805	3.3571695924132175e-12	0.0003381612909194631	5.0200078145465936e-12
UTP18_5_left	UTP18	1	52.799087611963586	3.4262874878749754e-12	0.0	5.113766156996921e-12
LARP4_5_right	LARP4	2	52.111014233287115	4.833225254086847e-12	0.0	7.200150518705078e-12
DDX6_center_left	DDX6	3	51.54494971172273	6.414405113312051e-12	5.8492765499341705e-05	9.537837453936017e-12
QKI_3_right	QKI	6	51.19372128180001	7.645830564638915e-12	0.0	1.1347722458132617e-11
PPIL4_3_left	PPIL4	5	51.051170549615954	8.210680782181729e-12	9.499455328075662e-05	1.2163406288845423e-11
TARDBP_3_right	TARDBP	6	50.71151610236901	9.730478421715399e-12	6.517344667481478e-05	1.438811002246229e-11
TARDBP_5_right	TARDBP	2	50.66731999925039	9.947896445462107e-12	6.476769964744145e-06	1.4682358272283888e-11
NPM1_3_right	NPM1	6	50.461988958726785	1.1023470004108042e-11	0.0	1.623975155873218e-11
ZC3H11A_center_right	ZC3H11A	4	49.67229018943554	1.6360600260003562e-11	0.0001157418694015316	2.4057930640632543e-11
