Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
NOL12_center_left	NOL12	3	69.41880629855766	8.431362116573664e-16	0.0	1.3120231865076364e-15
RBM5_5_right	RBM5	2	68.77865000739429	1.1611970250619007e-15	8.449290851606913e-05	1.8023668836838663e-15
IGF2BP3_3_left	IGF2BP3	5	65.90747329608702	4.8794853189132936e-15	0.0001391143500610147	7.554533107962206e-15
FUBP3_3_left	FUBP3	5	65.83676383240552	5.055084046319073e-15	0.00012616460147310513	7.806585489252238e-15
CDC40_5_left	CDC40	1	64.9724444391122	7.787767047618096e-15	6.13021273000952e-06	1.199630782587636e-14
XPO5_center_right	XPO5	4	64.51723071450354	9.77825495003076e-15	0.0002930681087248555	1.502452271919084e-14
CDC40_3_left	CDC40	5	64.47307981612312	9.996514546111422e-15	0.0005720387989334642	1.5321291138512482e-14
TIA1_5_right	TIA1	2	64.38236310583099	1.0460380576852312e-14	9.217804323374259e-05	1.5992060531027346e-14
DHX30_3_left	DHX30	5	63.8993747190066	1.331763418245723e-14	0.0	2.0309392128247275e-14
DROSHA_3_right	DROSHA	6	63.56303135826304	1.575662191215805e-14	0.00026205311089257035	2.3968926100789052e-14
SAFB_center_left	SAFB	3	63.33036578103207	1.7700510914596857e-14	0.0	2.6858984223641996e-14
HNRNPUL1_center_left	HNRNPUL1	3	62.66500742722588	2.468689858616189e-14	0.0004155940553380369	3.7367265850021717e-14
SUGP2_5_right	SUGP2	2	62.44109042635533	2.7611467670395612e-14	6.730541427318412e-05	4.169058237361714e-14
FUBP3_5_left	FUBP3	1	61.17987764001569	5.1875030935768194e-14	0.0006027534597945687	7.813276264399654e-14
SFPQ_5_left	SFPQ	1	60.89725618856184	5.974875182467157e-14	0.0	8.97702921503686e-14
NIP7_5_right	NIP7	2	59.09717731511595	1.469640115404308e-13	0.0	2.2026547184192332e-13
