Feature-Feature Interaction	Cell Line	interaction_shap	f1_main_effect	f2_main_effect	abs_difference_interaction_vs_main1	abs_difference_interaction_vs_main2	avg_of_abs_differences	avg_multiplicative_difference	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
FAM120A_3-SF3B4_5-interaction-shap	K562	-0.2902626097202301	-0.19784791767597198	-0.22762475907802582	0.09241469204425812	0.06263785064220428	0.0775262713432312	1.3711399748625457	3.377112339987369e-50	7.62764857622639e-67	true	False	False	False	False
IGF2BP1_5-U2AF2_5-interaction-shap	HepG2	-0.20578478276729584	-0.11690355837345123	-0.14822599291801453	0.0888812243938446	0.05755878984928131	0.07322000712156296	1.5743065377199543	0.0	1.7265717885035716e-281	true	False	False	False	False
SF3B4_1-ZNF800_1-interaction-shap	K562	-0.1026642844080925	0.04066191986203194	-0.02342391014099121	0.06200236454606056	0.07924037426710129	0.07062136940658092	3.453855219998678	0.9999999246435265	0.00048521973129595473	false	None	False	False	False
LIN28B_2-DDX43_6-interaction-shap	K562	0.14141206443309784	0.00115653604734689	-0.14127664268016815	0.14025552838575095	0.0001354217529296875	0.07019547506934032	61.63651769157473	4.6361277560589235e-157	0.0	true	None	False	False	False
YBX3_2-YBX3_5-interaction-shap	HepG2	-0.11747533082962036	-0.006006523501127958	-0.09021826833486557	0.1114688073284924	0.02725706249475479	0.0693629349116236	10.430040475437488	3.2343980387697107e-156	7.8767740687963695e-81	true				
TRA2A_5-PRPF8_6-interaction-shap	HepG2	0.11962169408798218	-0.05796019732952118	-0.04275946691632271	0.061661496758461	0.07686222717165947	0.06926186196506023	2.430704050645809	3.7489106708231927e-103	5.265178527534914e-107	true	None	False	False	False
SND1_2-SND1_5-interaction-shap	HepG2	-0.19579580426216125	-0.18224208056926727	0.07166808098554611	0.013553723692893982	0.12412772327661514	0.06884072348475456	1.9031763246653703	1.0	1.0309549607730832e-21	false				
G3BP1_2-SUB1_5-interaction-shap	HepG2	-0.1531956046819687	-0.017455529421567917	-0.15214145183563232	0.13574007526040077	0.0010541528463363647	0.06839711405336857	4.891632768493807	1.9398805382563568e-29	0.0011140041592602407	true	False	None	None	False
PPIG_1-HNRNPK_4-interaction-shap	HepG2	0.1270551234483719	0.006828615441918373	-0.11156120896339417	0.12022650800645351	0.015493914484977722	0.06786021124571562	9.872580769271659	5.113674917915873e-10	3.908003836566303e-104	true	False	None	None	False
GRWD1_1-CSTF2T_4-interaction-shap	HepG2	-0.13438111543655396	-0.1194198951125145	-0.014876495115458965	0.01496122032403946	0.11950462032109499	0.06723292032256722	5.079199554193026	9.997467429174155e-104	6.07415081315989e-31	true	None	False	False	False
TRA2A_2-BCLAF1_6-interaction-shap	HepG2	-0.21708941459655762	-0.209066703915596	-0.09208220988512039	0.008022710680961609	0.12500720471143723	0.06651495769619942	1.6979673977233065	0.0	0.0	true	None	None	None	None
ZNF800_1-BCLAF1_5-interaction-shap	HepG2	-0.1479690819978714	-0.06887287646532059	-0.09470641613006592	0.07909620553255081	0.05326266586780548	0.06617943570017815	1.8554176582275637	6.446102929380206e-214	1.9983632259416174e-100	true	None	None	None	None
BUD13_1-DDX43_5-interaction-shap	K562	-0.1689860224723816	0.15409229695796967	-0.051684629172086716	0.014893725514411926	0.11730139330029488	0.0660975594073534	2.18310754222081	1.865116318071481e-129	1.7710069498022672e-38	true	None	False	False	False
DDX43_2-KHSRP_4-interaction-shap	K562	-0.1968231350183487	-0.08699648082256317	0.1760461926460266	0.10982665419578552	0.020776942372322083	0.0653017982840538	1.69022311739422	1.0	1.0289197204979777e-16	false	None	None	None	None
PRPF8_2-U2AF1_6-interaction-shap	HepG2	0.1825193613767624	-0.17347882688045502	0.06658507883548737	0.009040534496307373	0.11593428254127502	0.0624874085187912	1.8966291342995212	1.4893183180763024e-174	7.155666046031517e-106	true	None	False	False	False
BCLAF1_2-BCLAF1_5-interaction-shap	HepG2	-0.16582761704921722	-0.11293894797563553	-0.09470641613006592	0.052888669073581696	0.0711212009191513	0.0620049349963665	1.609629650292709	1.0	0.06863503899602358	false				
IGF2BP1_6-LIN28B_6-interaction-shap	HepG2	-0.08938530832529068	-0.015726618468761444	0.04329080134630203	0.07365868985652924	0.04609450697898865	0.05987659841775894	3.874229910017311	8.888864174790684e-27	3.1610310989832853e-104	true	False	False	False	False
GRWD1_1-HLTF_1-interaction-shap	HepG2	-0.17799112200737	-0.1194198951125145	-0.12053579092025757	0.0585712268948555	0.05745533108711243	0.05801327899098396	1.48356535616417	0.9999990461871322	0.9171228457140475	false	None	None	None	None
PRPF8_3-GRWD1_6-interaction-shap	HepG2	-0.31863588094711304	0.24989266693592072	-0.2737436294555664	0.06874321401119232	0.04489225149154663	0.056817732751369476	1.219542368809197	2.534281420850758e-26	1.0	false	None	False	False	False
FTO_1-PUM2_6-interaction-shap	K562	0.14671894907951355	-0.1383020132780075	0.04532400146126747	0.008416935801506042	0.10139494761824608	0.05490594170987606	2.148986432288943	7.460990310766572e-93	5.604721590680379e-11	true	None	False	False	False
PPIG_1-BUD13_2-interaction-shap	HepG2	-0.056942712515592575	0.006828615441918373	-0.0029569657053798437	0.0501140970736742	0.05398574681021273	0.05204992194194347	13.797990286012105	1.131564200447903e-65	2.220744476304884e-80	true	False	False	False	False
AQR_1-G3BP1_5-interaction-shap	HepG2	-0.14132164418697357	-0.0681835189461708	-0.11220896244049072	0.07313812524080276	0.02911268174648285	0.05112540349364281	1.666058169247584	1.0	0.9999999972167989	false	None	None	None	None
IGF2BP2_1-U2AF2_1-interaction-shap	K562	0.09531673789024353	-0.08650519698858261	-0.005069131962954998	0.00881154090166092	0.09024760592728853	0.049529573414474726	9.95261313911983	0.9999999999999873	0.9999983389637832	false	False	False	False	False
