Feature	Statistic	P-Val	RBP	Position	FDR P-Val
SUB1_3_left_shap	525.5204533995028	6.713175959098672e-229	SUB1	5	1.2699091189294987e-228
PABPN1_3_right_shap	518.390832567526	8.350875890022214e-226	PABPN1	6	1.573152553556052e-225
EIF3D_3_left_shap	509.1576022454155	8.505422038746933e-222	EIF3D	5	1.5956452915665734e-221
PCBP2_center_right_shap	508.9686230447878	1.0273735875454376e-221	PCBP2	4	1.919455180023163e-221
UCHL5_center_left_shap	508.9477072932556	1.049077457611356e-221	UCHL5	3	1.9519719908014577e-221
RBM22_5_left_shap	506.34745193433906	1.4110225187195684e-220	RBM22	1	2.6147111163211596e-220
BUD13_3_right_shap	503.03016596093806	3.886110563781578e-219	BUD13	6	7.171927625840799e-219
XRN2_center_right_shap	502.0582608308811	1.0266079360973727e-218	XRN2	4	1.8869635748510412e-218
DKC1_center_right_shap	497.2568192009003	1.2463623202299183e-216	DKC1	4	2.2816471507434793e-216
PCBP2_5_left_shap	489.2816686597417	3.610510101387674e-213	PCBP2	1	6.58301841779118e-213
IGF2BP1_5_left_shap	488.1165480045516	1.1570089426718223e-212	IGF2BP1	1	2.1011282398920297e-212
YBX3_5_left_shap	488.0580988201088	1.2266170115976613e-212	YBX3	1	2.2186618456786386e-212
FASTKD2_5_right_shap	483.3254045158794	1.3903813867813248e-210	FASTKD2	2	2.5048934507885773e-210
FXR2_5_right_shap	482.1960195684711	4.299246522781342e-210	FXR2	2	7.714853444042408e-210
FKBP4_5_right_shap	479.21367856805966	8.472450818330187e-209	FKBP4	2	1.5143671935125609e-208
EIF3H_3_right_shap	478.6598517533018	1.4737452933830464e-208	EIF3H	6	2.623844561552561e-208
FUBP3_3_left_shap	458.5190251951753	8.157152410656295e-200	FUBP3	5	1.4466199978273273e-199
DGCR8_3_left_shap	451.5718486513579	8.459435193697373e-197	DGCR8	5	1.4943904972523764e-196
LARP4_5_left_shap	448.6140884867904	1.6267671755520314e-195	LARP4	1	2.862605805041172e-195
EIF3D_5_left_shap	443.68000622530894	2.2555505364539778e-193	EIF3D	1	3.953744955791915e-193
SUPV3L1_3_left_shap	439.25516056933725	1.8798552074165302e-191	SUPV3L1	5	3.2825164006427103e-191
TIA1_3_left_shap	434.4563347225789	2.2769535733995792e-189	TIA1	5	3.96067786330808e-189
SRSF1_3_right_shap	432.3934783387285	1.7900643648256626e-188	SRSF1	6	3.101867258133018e-188
SF3A3_3_left_shap	430.92288035557294	7.785323125713671e-188	SF3A3	5	1.3439303038304208e-187
TAF15_center_left_shap	420.91347909677285	1.7239608420392731e-183	TAF15	3	2.9646902359311743e-183
NSUN2_5_left_shap	420.334851880066	3.0741181591297164e-183	NSUN2	1	5.266602431112797e-183
SUB1_5_left_shap	420.17433870724744	3.6091291589607646e-183	SUB1	1	6.159942248752583e-183
IGF2BP1_3_right_shap	419.6014760927532	6.398721896281434e-183	IGF2BP1	6	1.0880223748733224e-182
HNRNPL_3_left_shap	413.59062699166157	2.603323062349417e-180	HNRNPL	5	4.4101069787561016e-180
HNRNPM_center_left_shap	404.8271782129058	1.6593986788229126e-176	HNRNPM	3	2.8006208185338374e-176
PTBP1_center_right_shap	401.66011257896116	3.9342099927578483e-175	PTBP1	4	6.615301247081716e-175
TIAL1_3_right_shap	400.72282410992995	1.0040607862302117e-174	TIAL1	6	1.68207969353696e-174
HNRNPK_3_right_shap	399.7747688745975	2.590222035997473e-174	HNRNPK	6	4.323385310084017e-174
HNRNPK_5_right_shap	394.63655538611613	4.405386704407304e-172	HNRNPK	2	7.326174226376981e-172
XPO5_5_right_shap	391.5933518187954	9.228516315960292e-171	XPO5	2	1.5291045282649534e-170
SLTM_3_left_shap	390.166145696806	3.8435018143345094e-170	SLTM	5	6.345272086210426e-170
AQR_5_left_shap	388.40135209179357	2.2432663789717968e-169	AQR	1	3.690010637873898e-169
DDX59_5_right_shap	375.60982226857385	8.019269648201305e-164	DDX59	2	1.314349610210611e-163
DDX3X_5_left_shap	375.0277124521895	1.4349964549084464e-163	DDX3X	1	2.343483419167031e-163
RBM22_center_left_shap	362.98424703478526	2.4288959378345573e-158	RBM22	3	3.952396974110713e-158
CSTF2T_5_left_shap	362.2527344133323	5.046499460632424e-158	CSTF2T	1	8.182538411168288e-158
KHSRP_5_left_shap	354.3058796923565	1.4225860379770805e-154	KHSRP	1	2.2984130293295177e-154
RBM15_3_left_shap	354.1515749824124	1.659852287954625e-154	RBM15	5	2.6722444635865238e-154
PTBP1_3_right_shap	340.99648992927234	8.53776691429133e-149	PTBP1	6	1.3696629608085739e-148
