Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	IGF2BP3_5-CSTF2T_6-interaction-shap	interaction	IGF2BP3	5	CSTF2T	6	8	-0.3516484200954437	false	0.3516484200954437	CSTF2T-IGF2BP3
HepG2	RPS3_3-SRSF9_4-interaction-shap	interaction	RPS3	3	SRSF9	4	65	-0.35095205903053284	false	0.35095205903053284	RPS3-SRSF9
HepG2	EFTUD2_5-SF3B4_6-interaction-shap	interaction	EFTUD2	5	SF3B4	6	87	-0.34483563899993896	false	0.34483563899993896	EFTUD2-SF3B4
HepG2	SMNDC1_1-SF3B4_4-interaction-shap	interaction	SMNDC1	1	SF3B4	4	16	-0.34429243206977844	false	0.34429243206977844	SF3B4-SMNDC1
HepG2	SF3B4_1-RBM5_4-interaction-shap	interaction	SF3B4	1	RBM5	4	106	-0.3435770273208618	false	0.3435770273208618	RBM5-SF3B4
HepG2	HNRNPL_1-PPIG_2-interaction-shap	interaction	HNRNPL	1	PPIG	2	17	-0.3409607708454132	false	0.3409607708454132	HNRNPL-PPIG
HepG2	LIN28B_3-GRWD1_5-interaction-shap	interaction	LIN28B	3	GRWD1	5	133	-0.33841049671173096	false	0.33841049671173096	GRWD1-LIN28B
HepG2	DDX3X_3-BUD13_4-interaction-shap	interaction	DDX3X	3	BUD13	4	229	-0.3371936082839966	false	0.3371936082839966	BUD13-DDX3X
HepG2	U2AF2_3-UCHL5_6-interaction-shap	interaction	U2AF2	3	UCHL5	6	267	-0.3366154432296753	false	0.3366154432296753	U2AF2-UCHL5
HepG2	SF3B4_3-U2AF1_3-interaction-shap	interaction	SF3B4	3	U2AF1	3	402	-0.3349000811576843	false	0.3349000811576843	SF3B4-U2AF1
HepG2	DGCR8_3-BCLAF1_6-interaction-shap	interaction	DGCR8	3	BCLAF1	6	29	0.3287765383720398	false	0.3287765383720398	BCLAF1-DGCR8
HepG2	TARDBP_1-SRSF1_4-interaction-shap	interaction	TARDBP	1	SRSF1	4	28	-0.32660695910453796	false	0.32660695910453796	SRSF1-TARDBP
HepG2	PABPN1_1-CSTF2T_4-interaction-shap	interaction	PABPN1	1	CSTF2T	4	32	-0.32404202222824097	false	0.32404202222824097	CSTF2T-PABPN1
HepG2	DDX3X_1-TIAL1_4-interaction-shap	interaction	DDX3X	1	TIAL1	4	168	0.3220595717430115	false	0.3220595717430115	DDX3X-TIAL1
HepG2	LARP4_2-RBFOX2_2-interaction-shap	interaction	LARP4	2	RBFOX2	2	151	0.32172608375549316	false	0.32172608375549316	LARP4-RBFOX2
HepG2	RBFOX2_2-SUB1_6-interaction-shap	interaction	RBFOX2	2	SUB1	6	56	-0.31869861483573914	false	0.31869861483573914	RBFOX2-SUB1
HepG2	U2AF1_4-U2AF2_4-interaction-shap	interaction	U2AF1	4	U2AF2	4	262	0.31701046228408813	false	0.31701046228408813	U2AF1-U2AF2
HepG2	HNRNPM_4-RBFOX2_6-interaction-shap	interaction	HNRNPM	4	RBFOX2	6	3	0.31242361664772034	false	0.31242361664772034	HNRNPM-RBFOX2
HepG2	HNRNPC_3-AQR_5-interaction-shap	interaction	HNRNPC	3	AQR	5	45	0.30716320872306824	false	0.30716320872306824	AQR-HNRNPC
HepG2	RBFOX2_2-KHSRP_5-interaction-shap	interaction	RBFOX2	2	KHSRP	5	22	0.3051539659500122	false	0.3051539659500122	KHSRP-RBFOX2
HepG2	SF3B4_4-PRPF4_5-interaction-shap	interaction	SF3B4	4	PRPF4	5	80	0.3029116988182068	false	0.3029116988182068	PRPF4-SF3B4
