,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
276,PCBP1 Position 1,HepG2,6,0.490990990990991,0.155716408776991,66.66666666666666
277,PCBP1 Position 6,K562,6,0.6610486891385767,0.10462028340916221,0.0
278,PCBP2 Position 6,HepG2,6,0.46158854166666663,0.0536708162017732,0.0
279,TIA1 Position 3,K562,6,0.31893004115226337,0.2127641093581573,33.33333333333333
280,DDX24 Position 1,K562,6,0.5730593607305935,0.008898248814496246,83.33333333333334
281,DDX24 Position 3,K562,6,0.7796065077563376,0.07577002554220508,66.66666666666666
282,EIF4G2 Position 5,K562,6,0.6839080459770115,0.566260987153482,83.33333333333334
283,TIA1 Position 5,HepG2,6,0.5,0.15384615384615385,0.0
284,HNRNPM Position 3,K562,6,0.5,0.4218365376453611,100.0
285,LARP4 Position 4,HepG2,6,0.30486111111111114,0.01928304202275884,100.0
286,PTBP1 Position 4,HepG2,6,0.7755102040816326,0.47837301587301584,83.33333333333334
287,MBNL1 Position 6,K562,6,0.8083333333333332,0.7569444444444444,0.0
288,IGF2BP2 Position 5,K562,6,0.5355436081242533,0.02574815407717187,50.0
289,GRWD1 Position 4,HepG2,6,0.49453551912568305,0.006655478529103481,66.66666666666666
290,HNRNPC Position 4,HepG2,6,0.7884615384615384,0.5972222222222222,100.0
291,HNRNPC Position 4,K562,6,0.5416666666666666,0.7833333333333333,100.0
292,XRN2 Position 2,K562,5,0.4309859154929577,0.023847759577776417,40.0
293,RBFOX2 Position 6,HepG2,5,0.4851851851851852,0.059303882195448465,60.0
294,PABPC4 Position 1,K562,5,0.4224719101123595,0.018199376907930855,80.0
295,IGF2BP2 Position 2,K562,5,0.453,0.019051638672499514,40.0
296,METAP2 Position 6,K562,5,0.6486956521739131,0.03630098711912644,80.0
297,NCBP2 Position 3,HepG2,5,0.43548387096774194,0.07675780698731519,80.0
298,LIN28B Position 1,K562,5,0.583408071748879,0.11312970085875314,60.0
299,AKAP8L Position 5,K562,5,0.6620689655172415,0.24547619047619046,80.0
300,DDX24 Position 4,K562,5,0.6068206820682068,0.206335558613319,60.0
301,CPSF6 Position 5,K562,5,0.12537313432835823,0.04805732922839265,40.0
302,PTBP1 Position 6,K562,5,0.48095238095238096,0.11967832167832168,60.0
303,BUD13 Position 5,HepG2,5,0.5239202657807309,0.013317613433579296,80.0
304,LIN28B Position 2,K562,5,0.41593695271453585,0.00844514998482301,60.0
305,DDX59 Position 4,HepG2,5,0.5517241379310345,0.1726047237076649,60.0
306,SND1 Position 1,HepG2,5,0.2845360824742268,0.010589005888660654,100.0
307,SND1 Position 2,HepG2,5,0.6295366795366796,0.08102490457632103,100.0
308,SF3A3 Position 4,HepG2,5,0.5,0.22727272727272727,0.0
309,PCBP1 Position 2,K562,5,0.7521126760563381,0.18105842911877393,20.0
310,SRSF9 Position 1,HepG2,5,0.4571428571428572,0.35653235653235654,40.0
311,TIA1 Position 5,K562,5,0.4967741935483871,0.07976232917409389,40.0
312,TIA1 Position 3,HepG2,5,0.8392857142857143,0.4916256157635468,40.0
313,GRWD1 Position 5,K562,5,0.5309090909090909,0.020811609997739768,80.0
314,HNRNPK Position 1,K562,5,0.3636363636363636,0.09380262249827467,60.0
315,TARDBP Position 4,HepG2,5,0.5790123456790124,0.12357226107226107,80.0
316,FTO Position 5,HepG2,5,0.5,0.13513513513513514,0.0
317,SUPV3L1 Position 2,HepG2,5,0.5,0.10869565217391304,0.0
318,G3BP1 Position 3,HepG2,5,0.5712830957230143,0.014459767649604197,60.0
319,FTO Position 1,K562,5,0.8085714285714285,0.18311594202898548,80.0
320,FMR1 Position 5,K562,5,0.65,0.04840184722537664,60.0
