Cell Line	Interaction Column	Feature 1	Feature 2	Both - #	Both - Mean	Both - Median	Both - Median Abs. Dev.	XOR_1st_Feature - #	XOR_1st_Feature - Mean	XOR_1st_Feature - Median	XOR_1st_Feature - Median Abs. Dev.	XOR_2nd_Feature - #	XOR_2nd_Feature - Mean	XOR_2nd_Feature - Median	XOR_2nd_Feature - Median Abs. Dev.
HepG2	QKI_2-PTBP1_3-interaction-shap	QKI_2	PTBP1_3	5	0.0034000000000000002	0.0	0.0	16179	0.8025681438902281	0.985	0.015000000000000013	13255	0.5757243304413429	0.867	0.133
HepG2	QKI_2-PTBP1_4-interaction-shap	QKI_2	PTBP1_4	364	0.24638461538461537	0.3005	0.21100000000000002	15820	0.8151127054361567	0.986	0.014000000000000012	10334	0.753504064253919	0.985	0.015000000000000013
HepG2	QKI_2-RBFOX2_2-interaction-shap	QKI_2	RBFOX2_2	60	0.8584666666666666	1.0	0.0	16124	0.8021123170429174	0.984	0.016000000000000014	57370	0.8089471152170121	0.988	0.01200000000000001
HepG2	QKI_2-RBFOX2_3-interaction-shap	QKI_2	RBFOX2_3	11	0.9964545454545455	1.0	0.0	16173	0.8021892042292711	0.985	0.015000000000000013	36093	0.7861782063003906	0.98	0.020000000000000018
HepG2	QKI_2-RBFOX2_4-interaction-shap	QKI_2	RBFOX2_4	216	0.9280324074074073	0.969	0.019000000000000017	15968	0.8006207414829659	0.985	0.015000000000000013	51305	0.7419432998733066	0.968	0.03200000000000003
HepG2	QKI_2-RBFOX2_5-interaction-shap	QKI_2	RBFOX2_5	219	0.9543333333333334	0.993	0.006000000000000005	15965	0.8002360162856248	0.984	0.016000000000000014	30362	0.789871846386931	0.983	0.017000000000000015
HepG2	QKI_2-RBFOX2_6-interaction-shap	QKI_2	RBFOX2_6	214	0.9917897196261682	0.994	0.006000000000000005	15970	0.7997823418910457	0.984	0.016000000000000014	31121	0.819315863886122	0.99	0.010000000000000009
HepG2	QKI_3-HNRNPK_4-interaction-shap	QKI_3	HNRNPK_4	192	0.9984635416666667	0.999	0.0010000000000000009	22569	0.6474395409632682	0.929	0.07099999999999995	22480	0.7494442170818506	0.975	0.025000000000000022
HepG2	QKI_3-HNRNPK_5-interaction-shap	QKI_3	HNRNPK_5	192	0.9984635416666667	0.999	0.0010000000000000009	22569	0.6474395409632682	0.929	0.07099999999999995	12113	0.863008338149096	0.993	0.007000000000000006
HepG2	QKI_3-HNRNPK_6-interaction-shap	QKI_3	HNRNPK_6	11	0.016454545454545454	0.01	0.01	22750	0.6507071208791209	0.933	0.06699999999999995	13501	0.8371900599955557	0.993	0.007000000000000006
HepG2	QKI_3-PCBP1_6-interaction-shap	QKI_3	PCBP1_6	19	0.43	0.044	0.044	22742	0.6505847330929557	0.9325000000000001	0.0674999999999999	12779	0.7747941935988732	0.995	0.0050000000000000044
HepG2	QKI_3-PCBP2_4-interaction-shap	QKI_3	PCBP2_4	261	0.7415632183908046	0.998	0.0020000000000000018	22500	0.6493431111111111	0.93	0.06999999999999995	21620	0.8138333950046254	0.989	0.01100000000000001
HepG2	QKI_3-PCBP2_5-interaction-shap	QKI_3	PCBP2_5	192	0.9984791666666668	0.999	0.0010000000000000009	22569	0.6474394080375736	0.929	0.07099999999999995	18018	0.847422188922189	0.992	0.008000000000000007
