Interaction Term	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value
CPSF6-5_NONO-6_interaction	208.0	0.7454471153846154	13750.0	0.6815920363636363	0.06385507902097909	0.024825601604609674	0.3223956268913777							
CPSF6-5_RBM15-1_interaction	23.0	0.9950652173913043	35543.0	0.6717136285625862	0.32335158882871806	0.25830333878948064	0.0003990504906475344							
CPSF6-5_RBM15-2_interaction	370.0	0.6480824324324325	91607.0	0.7073458360168983	-0.0592634035844658	-0.15348981530111175	8.689346813283335e-16							
CPSF6-5_RBM15-3_interaction	267.0	0.5258014981273409	29100.0	0.8065615807560137	-0.2807600826286728	-0.3827188624805668	1.4599255976281061e-66							
CPSF6-5_RBM15-4_interaction	560.0	0.8514946428571428	47246.0	0.8462560110908861	0.005238631766256718	-0.07691805305055983	1.4692971864159821e-06							
CPSF6-5_RBM15-5_interaction	201.0	0.9833557213930347	47353.0	0.7361362849238696	0.2472194364691651	0.17815152587342672	1.9308128148524935e-12							
CPSF6-5_RBM15-6_interaction	34.0	0.9251764705882353	74323.0	0.7113288753145056	0.21384759527372965	0.13700865395943054	0.022608500663918493							
CPSF6-5_TAF15-1_interaction	0.0		4205.0	0.8030891795481571										
CPSF6-5_TAF15-2_interaction	0.0		4142.0	0.8103428295509416										
CPSF6-5_TAF15-3_interaction	0.0		4677.0	0.7918420996365191										
CPSF6-5_TAF15-4_interaction	0.0		4615.0	0.7943457204767064										
CPSF6-5_TAF15-5_interaction	0.0		4877.0	0.7819523272503589										
CPSF6-5_TAF15-6_interaction	0.0		4014.0	0.8064928998505232										
CPSF6-6_NONO-1_interaction	0.0		13384.0	0.7037342349073521										
CPSF6-6_NONO-2_interaction	183.0	0.8883524590163933	20944.0	0.6309946524064171	0.2573578066099762	0.24337248128200414	2.8333929940116725e-20							
CPSF6-6_NONO-3_interaction	0.0		20827.0	0.6558939597637682										
CPSF6-6_NONO-4_interaction	0.0		17973.0	0.583315640126857										
CPSF6-6_NONO-5_interaction	0.0		23196.0	0.6801567942748751										
CPSF6-6_NONO-6_interaction	0.0		15415.0	0.687696886149854										
CPSF6-6_RBM15-1_interaction	23.0	0.9950652173913043	36792.0	0.6738847711459013	0.321180446245403	0.2745537470078192	0.0001658404470488553							
CPSF6-6_RBM15-2_interaction	267.0	0.8652228464419477	93062.0	0.7063488104704392	0.1588740359715085	0.10111414794736032	4.082103161508586e-06							
CPSF6-6_RBM15-3_interaction	81.0	0.985604938271605	30721.0	0.7978549851892842	0.1877499530823208	0.12028151676800769	0.0021024634813849434							
