Data Partition	Model	Cell Line	Feature Pair	# Rows - Both Bound	# Rows - Either Bound	R2 - Both	R2 - Either	Difference R2 - (Both vs. Either)
All	xgboost	K562	DDX6_4-DHX30_2	39	6829	0.8025489706248764	0.1772717747253263	0.6252771958995501
All	xgboost	HepG2	SRSF7_3-U2AF1_4	427	27505	0.8838020649007903	0.258708986539003	0.6250930783617873
All	xgboost	K562	APOBEC3C_4-RBFOX2_3	51	29217	0.9870128005869042	0.36245472521365985	0.6245580753732444
All	xgboost	K562	FMR1_3-ZNF622_4	1909	185239	0.9400386182716818	0.31565398859987326	0.6243846296718085
All	xgboost	HepG2	FAM120A_3-TARDBP_4	493	24366	0.9224955713427136	0.29880267416446127	0.6236928971782524
All	xgboost	HepG2	DROSHA_2-RBM22_2	124	48682	0.973256202374731	0.34977375015155765	0.6234824522231733
All	xgboost	K562	FASTKD2_2-SLTM_2	318	4487	0.8558962397021848	0.23259945206787702	0.6232967876343077
All	xgboost	K562	APOBEC3C_4-FTO_3	432	7855	0.5635634013650497	-0.05914011934392582	0.6227035207089755
All	xgboost	HepG2	LARP4_5-NCBP2_6	150	58556	0.972790183230546	0.35031320025506063	0.6224769829754854
All	xgboost	K562	FAM120A_5-FASTKD2_2	595	4891	0.8908195749839163	0.2684848122611092	0.6223347627228071
All	xgboost	HepG2	TRA2A_3-U2AF2_2	395	146180	0.9261105835794969	0.30379759094119474	0.6223129926383022
All	xgboost	HepG2	EIF3H_5-U2AF2_4	487	175792	0.9238837113216651	0.3021414331376575	0.6217422781840076
All	xgboost	HepG2	BUD13_4-SUPV3L1_1	348	59721	0.9156833847163951	0.2944690569662767	0.6212143277501184
All	xgboost	K562	DDX6_4-GTF2F1_4	138	16983	0.9353322371414697	0.31507011630242776	0.620262120839042
All	xgboost	K562	MORC2_3-NONO_2	228	17055	0.9920444324331941	0.37187776290184726	0.6201666695313468
All	xgboost	HepG2	RBM15_5-TARDBP_4	92	14608	0.9932129458954386	0.3732071625808099	0.6200057833146287
All	xgboost	HepG2	SF3B4_4-SUPV3L1_5	622	81897	0.950268292513923	0.3304965966432447	0.6197716958706783
All	xgboost	K562	GTF2F1_4-TBRG4_4	133	12075	0.9359738519015307	0.31705588096724946	0.6189179709342812
All	xgboost	HepG2	GTF2F1_4-NOL12_6	56	10460	0.9286604702842335	0.31013571197420753	0.618524758310026
All	xgboost	K562	AATF_6-PRPF8_4	477	153566	0.9733704860568977	0.354858991758881	0.6185114942980167
All	xgboost	HepG2	FAM120A_3-FUS_3	489	16063	0.8620402655718393	0.2439378413844755	0.6181024241873638
All	xgboost	HepG2	KHSRP_4-U2AF1_5	318	32047	0.8626848654646957	0.24461391852716274	0.618070946937533
All	xgboost	HepG2	NCBP2_6-NOL12_6	149	47075	0.9780400892125217	0.36010852648529657	0.6179315627272252
All	xgboost	HepG2	GTF2F1_5-KHSRP_3	345	47536	0.9529761663891879	0.3356853235706312	0.6172908428185567
All	xgboost	K562	KHSRP_2-XRN2_5	376	90159	0.9226432769573619	0.30610349219569133	0.6165397847616706
All	xgboost	K562	ZC3H11A_1-ZC3H11A_2	1418	3241	0.5702674336475015	-0.046179206118325045	0.6164466397658266
All	xgboost	HepG2	GTF2F1_2-STAU2_4	49	19779	0.9613195211129093	0.3453826932559295	0.6159368278569798
All	xgboost	HepG2	GTF2F1_2-TARDBP_4	89	29647	0.9758491028658517	0.3599797992347582	0.6158693036310935
All	xgboost	K562	GPKOW_3-NOLC1_4	342	18753	0.906535115744627	0.29075383113081166	0.6157812846138153
All	xgboost	HepG2	BUD13_4-SF3A3_4	5036	82012	0.9220688784248852	0.3067584452616955	0.6153104331631897
All	xgboost	K562	FASTKD2_5-MORC2_3	64	3859	0.9501723026356519	0.3349128454393385	0.6152594571963134
All	xgboost	HepG2	GTF2F1_3-SMNDC1_5	669	16852	0.8791369857029122	0.2647016614599299	0.6144353242429823
All	xgboost	HepG2	FUS_4-PCBP2_3	165	24264	0.9589993383818568	0.3448676054717076	0.6141317329101492
All	xgboost	HepG2	RBM15_5-TIAL1_6	232	22603	0.9462510369288871	0.3330364941081224	0.6132145428207647
All	xgboost	K562	FAM120A_4-RBFOX2_2	195	18401	0.9589443014720503	0.34577813360904963	0.6131661678630007
All	xgboost	K562	AKAP8L_3-FASTKD2_5	87	9824	0.8641711695421986	0.25101803461736927	0.6131531349248294
All	xgboost	HepG2	BCLAF1_4-SRSF9_3	518	268122	0.8854096506400075	0.2724304430352106	0.612979207604797
All	xgboost	K562	SF3B4_1-XRCC6_5	182	121977	0.9709674423231742	0.3580294209387538	0.6129380213844204
All	xgboost	K562	AKAP8L_3-DDX6_4	251	12138	0.8002839284878447	0.18763921920377757	0.6126447092840671
All	xgboost	HepG2	IGF2BP1_2-SRSF1_5	47	44045	0.9268129764556141	0.31421837216040593	0.6125946042952082
