,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
314,DROSHA Position 3,K562,0,,,
315,DROSHA Position 2,K562,0,,,
316,DROSHA Position 2,HepG2,0,,,
317,DROSHA Position 1,K562,0,,,
318,SAFB Position 3,K562,0,,,
319,SAFB Position 3,HepG2,0,,,
320,SAFB Position 2,K562,0,,,
321,SAFB Position 2,HepG2,0,,,
322,SAFB Position 1,K562,0,,,
323,SAFB Position 1,HepG2,0,,,
324,CDC40 Position 6,K562,0,,,
325,RBM5 Position 2,K562,0,,,
326,APEX1 Position 4,K562,0,,,
327,APEX1 Position 4,HepG2,0,,,
328,APEX1 Position 3,K562,0,,,
329,APEX1 Position 3,HepG2,0,,,
330,APEX1 Position 2,K562,0,,,
331,APEX1 Position 2,HepG2,0,,,
332,APEX1 Position 1,K562,0,,,
333,APEX1 Position 1,HepG2,0,,,
334,SRSF9 Position 6,K562,0,,,
335,SRSF9 Position 6,HepG2,0,,,
336,SRSF9 Position 5,K562,0,,,
337,SRSF9 Position 5,HepG2,0,,,
338,STAU2 Position 5,K562,0,,,
339,SRSF9 Position 4,HepG2,0,,,
340,SRSF9 Position 3,K562,0,,,
341,SRSF9 Position 3,HepG2,0,,,
342,SAFB Position 4,K562,0,,,
343,WDR43 Position 4,HepG2,0,,,
344,WDR43 Position 3,K562,0,,,
345,WDR43 Position 2,K562,0,,,
346,WDR43 Position 2,HepG2,0,,,
347,WDR43 Position 1,K562,0,,,
348,WDR43 Position 1,HepG2,0,,,
349,STAU2 Position 6,K562,0,,,
350,STAU2 Position 6,HepG2,0,,,
351,SRSF9 Position 4,K562,0,,,
352,EXOSC10 Position 3,K562,0,,,
353,EXOSC10 Position 3,HepG2,0,,,
354,EXOSC10 Position 2,HepG2,0,,,
355,EXOSC10 Position 1,K562,0,,,
356,EXOSC10 Position 1,HepG2,0,,,
357,ADAT1 Position 6,HepG2,0,,,
358,ADAT1 Position 5,K562,0,,,
359,ADAT1 Position 5,HepG2,0,,,
360,ADAT1 Position 4,K562,0,,,
361,ADAT1 Position 4,HepG2,0,,,
362,ADAT1 Position 3,K562,0,,,
363,ADAT1 Position 3,HepG2,0,,,
364,RNF187 Position 6,K562,0,,,
365,ADAT1 Position 2,HepG2,0,,,
366,ADAT1 Position 1,K562,0,,,
367,ADAT1 Position 1,HepG2,0,,,
368,EIF4E Position 6,K562,0,,,
369,EIF4E Position 6,HepG2,0,,,
370,EIF4E Position 5,HepG2,0,,,
371,EIF4E Position 4,K562,0,,,
372,EIF4E Position 4,HepG2,0,,,
373,EIF4E Position 3,HepG2,0,,,
374,EIF4E Position 2,HepG2,0,,,
375,EIF4E Position 1,HepG2,0,,,
376,ZNF800 Position 6,HepG2,0,,,
377,ADAT1 Position 2,K562,0,,,
378,EXOSC5 Position 1,K562,0,,,
379,EXOSC5 Position 1,HepG2,0,,,
380,ELAC2 Position 6,K562,0,,,
381,ELAC2 Position 6,HepG2,0,,,
382,ELAC2 Position 5,K562,0,,,
383,ELAC2 Position 5,HepG2,0,,,
384,ELAC2 Position 4,HepG2,0,,,
385,ELAC2 Position 3,HepG2,0,,,
386,ELAC2 Position 2,HepG2,0,,,
387,ELAC2 Position 1,HepG2,0,,,
388,DDX21 Position 6,K562,0,,,
389,DDX21 Position 6,HepG2,0,,,
390,EXOSC10 Position 4,HepG2,0,,,
391,DDX21 Position 5,HepG2,0,,,
392,DDX21 Position 3,K562,0,,,
393,DDX21 Position 3,HepG2,0,,,
394,DDX21 Position 2,K562,0,,,
395,DDX21 Position 2,HepG2,0,,,
396,DDX21 Position 1,K562,0,,,
397,DDX21 Position 1,HepG2,0,,,
398,EXOSC10 Position 6,K562,0,,,
399,EXOSC10 Position 6,HepG2,0,,,
400,EXOSC10 Position 5,K562,0,,,
401,EXOSC10 Position 5,HepG2,0,,,
402,EXOSC10 Position 4,K562,0,,,
403,DDX21 Position 5,K562,0,,,
404,XRCC6 Position 5,HepG2,0,,,
405,XRCC6 Position 4,HepG2,0,,,
406,XRCC6 Position 3,HepG2,0,,,
407,XRCC6 Position 2,HepG2,0,,,
408,XRCC6 Position 1,HepG2,0,,,
409,TRA2A Position 6,HepG2,0,,,
410,TRA2A Position 5,K562,0,,,
411,TRA2A Position 5,HepG2,0,,,
412,TRA2A Position 4,HepG2,0,,,
413,TRA2A Position 3,HepG2,0,,,
414,TRA2A Position 2,HepG2,0,,,
415,TRA2A Position 1,HepG2,0,,,
416,ZNF800 Position 5,HepG2,0,,,
417,RPS3 Position 5,HepG2,0,,,
418,RPS3 Position 4,K562,0,,,
419,RPS3 Position 4,HepG2,0,,,
420,RPS3 Position 3,HepG2,0,,,
421,RPS3 Position 2,HepG2,0,,,
422,RPS3 Position 1,HepG2,0,,,
423,GNL3 Position 6,K562,0,,,
424,GNL3 Position 6,HepG2,0,,,
425,GNL3 Position 5,K562,0,,,
426,GNL3 Position 5,HepG2,0,,,
427,GNL3 Position 3,K562,0,,,
428,GNL3 Position 3,HepG2,0,,,
429,RPS3 Position 6,HepG2,0,,,
430,ZNF800 Position 4,K562,0,,,
431,ZNF800 Position 4,HepG2,0,,,
432,ZNF800 Position 3,K562,0,,,
433,ZNF800 Position 3,HepG2,0,,,
434,ZNF800 Position 2,K562,0,,,
435,ZNF800 Position 2,HepG2,0,,,
436,ZNF800 Position 1,K562,0,,,
437,ZNF800 Position 1,HepG2,0,,,
438,YWHAG Position 6,K562,0,,,
439,YWHAG Position 6,HepG2,0,,,
440,YWHAG Position 5,K562,0,,,
441,YWHAG Position 5,HepG2,0,,,
442,XRCC6 Position 5,K562,0,,,
443,YWHAG Position 4,HepG2,0,,,
444,YWHAG Position 3,K562,0,,,
445,YWHAG Position 3,HepG2,0,,,
446,YWHAG Position 2,K562,0,,,
447,YWHAG Position 2,HepG2,0,,,
448,YWHAG Position 1,K562,0,,,
449,YWHAG Position 1,HepG2,0,,,
450,SF3B1 Position 5,HepG2,0,,,
451,SF3B1 Position 3,K562,0,,,
452,SF3B1 Position 3,HepG2,0,,,
453,XRCC6 Position 6,K562,0,,,
454,XRCC6 Position 6,HepG2,0,,,
455,YWHAG Position 4,K562,0,,,
