RBP	Cell Line	Position	Positional Preference (%)	Avg. SHAP
FMR1	K562	4	15.062450935002717	0.5162689041832219
FMR1	K562	5	16.33034078785805	-0.11071673687181699
FMR1	K562	6	15.745838281768956	-0.008174210046407478
FTO	HepG2	1	21.11514842438537	-0.04202384740848168
FTO	K562	1	25.58020940704172	-0.109102812546221
FTO	HepG2	2	19.91032914727694	0.0
FTO	K562	2	30.22622470569088	-0.002068600212230394
FTO	HepG2	3	17.045961624274877	0.0
FTO	K562	3	19.7591276514946	0.010122919749993334
FTO	HepG2	4	14.42383289772848	0.0
FTO	K562	4	7.328161449574133	0.043117817664774606
FTO	HepG2	5	13.495250844648435	0.0
FTO	K562	5	12.879075570986817	-0.38327113558717124
FTO	HepG2	6	14.009477061685896	0.0
FTO	K562	6	4.227201215211848	-0.22228200855802316
FUBP3	HepG2	1	3.4996046615559147	0.0
FUBP3	HepG2	2	0.22688988964900825	0.0
FUBP3	HepG2	3	4.273092921722988	0.0
FUBP3	HepG2	4	1.8838736292069165	0.0
FUBP3	HepG2	5	3.5271064663618548	0.0
FUBP3	HepG2	6	86.58943243150333	0.14139919632203352
FUS	HepG2	1	9.03884320952651	0.0
FUS	K562	1	11.282207653605733	-0.00064863331205132
FUS	HepG2	2	35.95690388432095	0.0
FUS	K562	2	32.62365778755472	-0.03014891419643283
FUS	HepG2	3	9.373405160192798	0.0
FUS	K562	3	17.53860562367957	-0.01330814479373375
FUS	HepG2	4	22.77856535299121	-0.14971465370871803
FUS	K562	4	14.599350946355063	-0.021410103451373865
FUS	HepG2	5	8.403742557414233	-0.3210249294023045
FUS	K562	5	13.779321760721363	-0.07171921429728279
FUS	HepG2	6	14.448539835554294	-0.08773036004192587
FUS	K562	6	10.17685622808355	0.03507886720258312
FXR1	K562	1	15.309338783145728	-0.02217019955482548
FXR1	K562	2	18.976110089627205	0.004029249186220291
FXR1	K562	3	13.806049035498525	0.9246432183647839
FXR1	K562	4	17.62401419684671	1.2414154757758578
FXR1	K562	5	15.71615275704557	0.08240604868379732
FXR1	K562	6	18.56833513783626	-0.03045835321434679
FXR2	HepG2	1	14.882998044146408	-0.0018358140494869927
FXR2	K562	1	20.0524533725245	0.004015120989836187
FXR2	HepG2	2	17.933431126012852	-0.01915935526541335
FXR2	K562	2	21.048472004568694	-0.031573400055817935
FXR2	HepG2	3	13.105965353450685	0.4908521256855459
FXR2	K562	3	14.678283275277357	0.18610698999750272
FXR2	HepG2	4	15.783039955294775	0.593787085151292
FXR2	K562	4	14.371087311318073	0.3490275946709118
FXR2	HepG2	5	16.9279128248114	-0.0018394652706967146
FXR2	K562	5	15.554671408581457	-0.0145593456099355
FXR2	HepG2	6	21.36665269628388	-0.004131432820090223
FXR2	K562	6	14.295032627729917	-0.05697285771226594
G3BP1	HepG2	1	14.06874355868154	0.006530727280429114
G3BP1	HepG2	2	15.72521174018272	-0.0024624584568881643
G3BP1	HepG2	3	15.171161490795534	1.554102104471703
G3BP1	HepG2	4	16.21481651767149	1.372571260118601
G3BP1	HepG2	5	19.360762910404006	-0.0954791684896828
G3BP1	HepG2	6	19.45930378226471	-0.05486201942978268
GARS	K562	1	19.791049826579815	-0.016352438991172957
GARS	K562	2	30.661534557144066	0.012684714902059739
GARS	K562	3	9.060147195668725	0.0
GARS	K562	4	17.80729210726673	0.0
GARS	K562	5	12.735809153201929	0.0
GARS	K562	6	9.944167160138736	0.0
GEMIN5	K562	1	31.490132811365047	-0.007130144524284086
GEMIN5	K562	2	38.946531383088534	-0.024951199186607063
GEMIN5	K562	3	12.562028336149616	-0.03490934319441637
GEMIN5	K562	4	7.131825028481424	0.0057340552091434
GEMIN5	K562	5	6.991902864963643	-0.34704744102795737
GEMIN5	K562	6	2.877579575951738	-0.03308360025484385
GNL3	K562	3	36.84647302904565	0.0
GNL3	K562	5	28.04979253112033	0.0
GNL3	K562	6	35.10373443983402	0.0
