Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - PPI Interaction	% Rows - PPI Interaction	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	MBNL1-RBFOX2	2	2252043	207	0.009191653978187806	2427	0.10776881258483964	16181	0.718503154691096	0.7213462842299703	0.0	0.0	-0.22435979774348794	1.4043080739190681e-201	3.9005051221662206e-201	-0.0213262829779265	1.3482304602910808e-14	1.8787067067866694e-14	0.36308134238516854	5.126559266760435e-46	9.586122925440088e-46
All	K562	U2AF1-U2AF2	4	2252043	17856	0.7928800649010699	23373	1.0378576252762493	71444	3.172408342114249	0.7197962975648748	0.0	0.0	0.06583330185510636	1.505838641431995e-44	2.7862523365418346e-44	0.03576711215371522	1.272977952957781e-121	3.079062132790249e-121	-0.07940606417226063	6.992639685128049e-46	1.3055744185526084e-45
All	K562	HNRNPK-PCBP1	4	2252043	3910	0.173620130699103	18911	0.8397264173019787	12221	0.5426628177170685	0.7213612906386637	0.0	0.0	-0.13249688159927356	0.0	0.0	0.10262932420914438	4.481125918169438e-158	1.151490984377843e-157	0.10311419514021508	7.627418745902036e-45	1.4198026460745359e-44
All	K562	SRSF1-TAF15	4	2252043	281	0.0124775592650762	67656	3.004205514725962	652	0.028951489825016663	0.7157501492663048	0.0	0.0	0.17479195834037564	0.0	0.0	0.10915955423775041	1.4563183201324204e-09	1.8750098371704912e-09	-0.38649169743161643	8.352669792221906e-45	1.5524661448400414e-44
All	HepG2	HNRNPK-LARP4	5	2083000	221	0.010609697551608257	16670	0.800288046087374	13762	0.6606817090734517	0.7047922487406149	0.0	0.0	0.06436049610708235	1.86658804094071e-119	4.47112949341612e-119	0.032023680658997696	8.747199124513072e-26	1.3932394481827523e-25	-0.3305497286741161	1.2131173442932283e-42	2.2213526482169338e-42
All	K562	EWSR1-RBM15	2	2252043	798	0.03543449214779647	11644	0.5170416373044386	88384	3.9246142280587004	0.7219203579224021	0.0	0.0	-0.03604395187409838	6.933043910040223e-27	1.1216285697394917e-26	-0.01751952902280703	4.226115262297101e-48	7.97477628122018e-48	-0.1743618895568354	6.055073728388898e-42	1.1054757944296421e-41
All	HepG2	RBM22-TIA1	1	2083000	934	0.044839174267882864	18880	0.9063850216034566	5514	0.2647143542966875	0.7051692195830138	0.0	0.0	0.03158047394199996	1.1108268886835563e-32	1.8937683233281043e-32	0.04032019089732688	1.3219726555623672e-14	1.8441966165633023e-14	-0.17478294652085324	2.3932870106809285e-41	4.3501510958847464e-41
All	K562	FMR1-FXR2	1	2252043	10758	0.4776995821127749	20734	0.9206751380857293	26742	1.1874551240806681	0.7193161378127365	0.0	0.0	0.05282685537091904	1.5465288535194905e-51	2.963580872790838e-51	0.12967967049556745	0.0	0.0	-0.07489056663515792	4.45281367431346e-41	8.08175873928258e-41
All	HepG2	U2AF1-U2AF2	3	2083000	11340	0.5444071051368219	16908	0.8117138742198752	102736	4.932117138742199	0.7063188511041696	0.0	0.0	-0.013311846793823155	0.005048175260360781	0.0056517614327952215	-0.006020812896801866	4.899502929377211e-07	5.95455813245844e-07	-0.07898888100789457	1.0089562065082656e-40	1.8205399580207537e-40
All	K562	IGF2BP2-PCBP1	1	2252043	1084	0.04813407204036513	13206	0.5864008813330829	8129	0.36096113617723996	0.7212442454314718	0.0	0.0	-0.027157502319788848	1.2423084096684031e-17	1.8001092548067366e-17	-0.048809327049642776	9.327468582892523e-32	1.5728173490389028e-31	0.15753208578296357	1.493714198961275e-40	2.6912984692655045e-40
All	K562	HNRNPK-QKI	3	2252043	108	0.004795645553837115	23871	1.059970879774498	8638	0.3835628360559723	0.7221869369024382	0.0	0.0	-0.06631370961633412	6.094975978277191e-187	1.6520592783225017e-186	-0.13578740583562382	3.6136958253585106e-282	1.0947372647409606e-281	0.44700214151246104	7.70029367631471e-40	1.3833667127797938e-39
