,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
174,XRCC6 Position 4,HepG2,0,,,
175,XRCC6 Position 5,HepG2,0,,,
176,RNF187 Position 1,HepG2,0,,,
177,RNF187 Position 1,K562,0,,,
178,RNF187 Position 2,HepG2,0,,,
179,RNF187 Position 2,K562,0,,,
180,RNF187 Position 3,HepG2,0,,,
181,RNF187 Position 3,K562,0,,,
182,SF3B1 Position 3,HepG2,0,,,
183,SF3B1 Position 3,K562,0,,,
184,STAU2 Position 6,HepG2,0,,,
185,STAU2 Position 6,K562,0,,,
186,DROSHA Position 5,K562,0,,,
187,DROSHA Position 6,K562,0,,,
188,STAU2 Position 1,HepG2,0,,,
189,STAU2 Position 1,K562,0,,,
190,STAU2 Position 2,HepG2,0,,,
191,STAU2 Position 2,K562,0,,,
192,WDR43 Position 4,HepG2,0,,,
193,SAFB Position 3,K562,0,,,
194,STAU2 Position 3,HepG2,0,,,
195,STAU2 Position 3,K562,0,,,
196,STAU2 Position 4,HepG2,0,,,
197,STAU2 Position 4,K562,0,,,
198,STAU2 Position 5,HepG2,0,,,
199,STAU2 Position 5,K562,0,,,
200,YWHAG Position 3,HepG2,0,,,
201,YWHAG Position 3,K562,0,,,
202,YWHAG Position 4,HepG2,0,,,
203,YWHAG Position 4,K562,0,,,
204,YWHAG Position 5,HepG2,0,,,
205,YWHAG Position 5,K562,0,,,
206,YWHAG Position 6,HepG2,0,,,
207,YWHAG Position 6,K562,0,,,
208,EIF4E Position 1,HepG2,0,,,
209,EIF4E Position 2,HepG2,0,,,
210,ZNF800 Position 1,HepG2,0,,,
211,ZNF800 Position 2,HepG2,0,,,
212,ZNF800 Position 3,HepG2,0,,,
213,ZNF800 Position 3,K562,0,,,
214,ZNF800 Position 4,HepG2,0,,,
215,ZNF800 Position 4,K562,0,,,
216,TRA2A Position 4,HepG2,0,,,
217,EIF4E Position 3,HepG2,0,,,
218,EIF4E Position 4,HepG2,0,,,
219,EIF4E Position 4,K562,0,,,
220,EIF4E Position 5,HepG2,0,,,
221,EIF4E Position 6,HepG2,0,,,
222,ZNF800 Position 5,HepG2,0,,,
223,ZNF800 Position 6,HepG2,0,,,
224,XRCC6 Position 6,HepG2,0,,,
225,TRA2A Position 5,HepG2,0,,,
226,TRA2A Position 6,HepG2,0,,,
227,XRCC6 Position 1,HepG2,0,,,
228,XRCC6 Position 2,HepG2,0,,,
229,TRA2A Position 1,HepG2,0,,,
230,TRA2A Position 2,HepG2,0,,,
231,TRA2A Position 3,HepG2,0,,,
232,ADAT1 Position 3,K562,0,,,
233,ADAT1 Position 4,HepG2,0,,,
234,ADAT1 Position 4,K562,0,,,
235,EXOSC5 Position 6,HepG2,0,,,
236,EXOSC5 Position 6,K562,0,,,
237,DDX43 Position 1,HepG2,0,,,
238,DDX43 Position 2,HepG2,0,,,
239,DDX43 Position 3,HepG2,0,,,
240,EXOSC10 Position 1,HepG2,0,,,
241,EXOSC10 Position 1,K562,0,,,
242,EXOSC10 Position 2,HepG2,0,,,
243,ADAT1 Position 1,HepG2,0,,,
244,ADAT1 Position 1,K562,0,,,
245,ADAT1 Position 2,HepG2,0,,,
246,ADAT1 Position 2,K562,0,,,
247,ADAT1 Position 3,HepG2,0,,,
248,EXOSC10 Position 3,HepG2,0,,,
249,EXOSC10 Position 4,HepG2,0,,,
250,EXOSC10 Position 5,HepG2,0,,,
251,EXOSC10 Position 6,HepG2,0,,,
252,EXOSC10 Position 6,K562,0,,,
253,ADAT1 Position 5,HepG2,0,,,
254,ADAT1 Position 5,K562,0,,,
255,ADAT1 Position 6,HepG2,0,,,
256,DDX21 Position 1,HepG2,0,,,
257,DDX21 Position 1,K562,0,,,
258,DDX21 Position 2,HepG2,0,,,
259,DDX21 Position 2,K562,0,,,
260,DDX21 Position 3,HepG2,0,,,
261,DDX21 Position 3,K562,0,,,
262,DDX21 Position 5,HepG2,0,,,
263,DDX21 Position 5,K562,0,,,
264,GNL3 Position 5,K562,0,,,
265,GNL3 Position 6,HepG2,0,,,
266,GNL3 Position 6,K562,0,,,
267,RPS3 Position 1,HepG2,0,,,
268,RPS3 Position 2,HepG2,0,,,
269,RNF187 Position 4,HepG2,0,,,
270,RNF187 Position 4,K562,0,,,
271,RNF187 Position 5,HepG2,0,,,
272,METTL1 Position 3,K562,0,,,
273,METTL1 Position 5,HepG2,0,,,
274,METTL1 Position 5,K562,0,,,
275,RPS3 Position 3,HepG2,0,,,
276,RPS3 Position 4,HepG2,0,,,
277,RPS3 Position 5,HepG2,0,,,
278,RPS3 Position 6,HepG2,0,,,
279,GNL3 Position 5,HepG2,0,,,
280,ELAC2 Position 6,HepG2,0,,,
281,EXOSC5 Position 1,HepG2,0,,,
282,EXOSC5 Position 1,K562,0,,,
283,DDX21 Position 6,HepG2,0,,,
284,METTL1 Position 1,K562,0,,,
285,METTL1 Position 2,HepG2,0,,,
286,METTL1 Position 2,K562,0,,,
287,METTL1 Position 3,HepG2,0,,,
